id,Unknown,Straight_and_Level,Straight_and_Grade,Straight_at_Hill_Crest,Curve_and_Level,Curve_and_Grade,Curve_at_Hill_Crest
Marion,,28,12,1,6,8,
Whitesboro,5,48,5,1,1,5,2
Springport,2,10,4,1,10,2,1
Cohocton,5,36,10,,11,14,
Sherrill,1,6,3,,,,
East Rochester,3,70,11,,1,,
Hoosick Falls,2,18,,2,,2,
Elba,7,41,11,2,5,2,
Chesterfield,1,20,10,,3,5,3
Willet,1,7,8,1,1,5,
Phillipstown,3,91,34,3,23,35,4
Forestburgh,6,10,8,1,4,4,1
Constantia,2,20,5,,8,3,1
Orangeville,1,36,29,2,2,3,
Medina,6,80,11,3,4,2,1
Caneadea,1,7,3,,4,2,
Deerpark,5,75,34,,19,33,
Ardsley,14,51,18,2,7,6,1
Grafton,,9,8,,3,7,
Middlesex,1,18,16,,2,5,
Truxton,1,18,5,,4,3,
Windham,3,30,7,1,4,6,1
Canaan,4,40,10,2,14,11,1
Parishville,1,27,13,4,3,8,1
Fayetteville,10,32,18,1,,1,
Dayton,,15,8,,6,4,
Mount Hope,2,28,9,,7,7,1
Groton,4,43,24,3,9,10,1
Greenwood,2,11,8,,1,5,
Tannersville,,4,5,1,,1,
Nelson,4,20,13,6,,4,
Monticello,6,114,28,5,3,7,1
German Flatts,,16,8,1,6,15,
